ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
512,2/24/2020,2020,,"Grayson County, Texas",TX,Texas,Grayson County,"Grayson County, TX",Government Facilities,,,,,,,,,,,,https://www.kxii.com/content/news/Grayson-Co-systems-offline-due-to-cyber-security-threat-investigation-568142731.html,,
513,2/27/2020,2020,,Jordan Health,NY,,,,Healthcare and Public Health,,,,(ended march 13) 16 days,1 month or less,,,,,,,https://www.beckershospitalreview.com/cybersecurity/new-york-health-system-back-online-following-ransomware-shutdown.html,,
514,2/27/2020,2020,,District of Squamish,Canada,,,,Government Facilities,,,,,,,,,,,,https://www.squamishchief.com/news/local-news/too-soon-to-say-if-ransomware-attack-did-damage-it-experts-1.24094799,,
515,2/27/2020,2020,,https://www.insurancenews.com.au/international/gallagher-hit-by-ransomware-attack,NV,,,,Commercial Facilities,,,,6 days,1 week or less,,,,,,,https://www.casino-review.co/computer-systems-ransomware-hack-vegas/,,
516,2/27/2020,2020,,Binion's Casino (TLC Casino Enterprises),NV,,,,Commercial Facilities,,,,6 days,1 week or less,,,,,,,https://www.casino-review.co/computer-systems-ransomware-hack-vegas/,,
517,2/29/2020,2020,,Epiq Global (MSP),KS,,,,Information Technology,,Ryuk,S0446,Restored march 26 (26 days),1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-attacked-epiq-global-via-trickbot-infection/; https://www.lawsitesblog.com/2020/04/reports-say-epiq-has-laid-off-some-200-employees-in-wake-of-ransomware-attack.html,,reportedly laid off 200 employees
518,2/29/2020,2020,,Talman Software,Australia,,,,Information Technology,,,,1 week,1 week or less,8 million AUD,4.6 million,$5000000 or less,No,N/A,N/A,https://techxplore.com/news/2020-03-ransomware-sheep-farmers-room-woolly.html; https://www.examiner.com.au/story/6667087/wool-sales-recover-from-cyber-attack/?cs=95,,
519,3/1/2020,2020,,City of Torrance (Los Angeles County),CA,California,Los Angeles County,"Los Angeles County, CA",Government Facilities,,DoppelPaymer,,,,100 bitcoin,"$690,000 ",$1000000 or less,,,,"https://www.dailynews.com/2020/04/25/hackers-stole-sensitive-information-in-torrance-cyberattack/, https://www.2-spyware.com/doppelpaymer-attacks-the-city-of-torrance-100-btc-ransom-expected",,
520,3/1/2020,2020,Mar-20,Brooks International (business management consultant),FL,,,,Communications,,Revil/sodinokibi,S0496,,,,,,,,,https://www.infosecurity-magazine.com/news/celebrity-data-stolen-in/; https://nakedsecurity.sophos.com/2020/03/23/stolen-data-of-company-that-refused-revil-ransom-payment-now-on-sale/,,
521,3/1/2020,2020,Mar-20,Geidi (IT serves),Australia,,,,Information Technology,,Revil/sodinokibi,S0496,,,,,,,,,https://www.itwire.com/security/attackers-use-revil-ransomware-to-hit-texas-retirement-specialist.html; https://kirbyidau.com/2020/03/25/incident-melbourne-it-services-firm-geidi-hit-by-revil-ransomware-itwire/,,
522,3/1/2020,2020,Mar-20,LTI Power Systems,OH,,,,Energy,,,,,,,,,,,,https://www.utilitydive.com/news/ameren-missouri-supplier-hit-by-ransomware-attack-amid-growing-concern-for/574823/,,
523,3/1/2020,2020,Mar-20,Gunnebo Group,Sweden,,,,Emergency Services,,,,,,,,,,,,https://www.cpomagazine.com/cyber-security/security-blueprints-of-heavily-guarded-companies-leaked-after-ransomware-attack-on-swedish-firm/,,
524,3/3/2020,2020,,Fort Worth Independent School District,TX,Texas,Tarrant County,"Tarrant County, TX",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.keranews.org/post/fort-worth-isd-hacked-joining-other-texas-schools-towns-hit-ransomware-attacks,,
525,3/5/2020,2020,,Kimchuk,CT,,,,Critical Manufacturing,,DoppelPaymer,,,,,,,No,N/A,N/A,https://techcrunch.com/2020/03/26/kimchuk-medical-military-ransomware/,,Hackers published portion of network when company did not pay
526,3/6/2020,2020,,City of Durham,NC,North Carolina,Durham County,"Durham County, NC",Government Facilities,Emergency Services,Ryuk,S0446,,,,,,,,,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-behind-durham-north-carolina-cyberattack/; https://securityintelligence.com/news/durham-north-carolina-shuts-down-phone-system-following-ryuk-ransomware-attack/,,
527,3/7/2020,2020,,VT San Antonio Aerospace (aerospace and defense contractor),TX,,,,Transportation Systems,Defense Industrial Base,Maze,S0449,,,,,,,,,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/maze-vt-san-antonio-aerospace/; https://www.bleepingcomputer.com/news/security/us-aerospace-services-provider-breached-by-maze-ransomware/,,
528,3/8/2020,2020,,Burke County Public Schools,NC,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.burke.k12.nc.us/about_us/recent_news/b_c_p_s_targeted_in_cyber_threat,,
529,3/10/2020,2020,,Champaign-Urbana Public Health District,IL,,,,Healthcare and Public Health,,NetWalker,S0457,3,1 week or less,"about $300,000","$300,000 ",$1000000 or less,,,"$300,000 ","https://www.beckershospitalreview.com/cybersecurity/illinois-public-health-website-shut-down-in-ransomware-attack.html, https://gcn.com/articles/2020/04/17/health-care-ransomware-targets.aspx",,
530,3/10/2020,2020,,Metropolitan Community College of Kansas City,MO,,,,Education Facilities Subsector,,,,Months,More than 1 month,,,,,,,https://www.kshb.com/news/local-news/mcckc-falls-victim-to-ransomware-attack,,attack ended June 4 2020
531,3/13/2020,2020,,ExecuPharm,USA,,,,Chemical,,Clop,,,,,,,No,N/A,N/A,https://www.darkreading.com/attacks-breaches/biopharmaceutical-firm-suffers-ransomware-attack-data-dump/d/d-id/1337673; https://techcrunch.com/2020/04/27/execupharm-clop-ransomware/; https://www.bleepingcomputer.com/news/security/clop-ransomware-leaks-execupharms-files-after-failed-ransom/,,
532,3/13/2020,2020,,10x Genomics,CA,,,,Chemical,,Revil/sodinokibi,S0496,,,,,,,,,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/hackers-hit-cononavirus-biotech-researchers/,,"1 TB of data was stolen, some of which was sensitive"
533,3/13/2020,2020,,University Hospital Brno,Czech Republic,,,,Healthcare and Public Health,,,,,,,,,,,,https://hotforsecurity.bitdefender.com/blog/mysterious-cyberattack-cripples-czech-hospital-amid-covid-19-outbreak-22566.html,,COVID-19 testing lab. occurred during the COVID-19 outbreak.
534,3/13/2020,2020,,City of Marseille,France,,,,Government Facilities,,,,About 1 month,1 month or less,,,,,,,https://www.solutions-numeriques.com/marseille-et-sa-metropole-affectees-depuis-un-mois-le-ransomware-mespinoza-pysa-sans-outil-de-dechiffrement/,,
535,3/14/2020,2020,,Hammersmith Medicines Research,United Kingdom,,,,Chemical,,Maze,S0449,within the same day,1 day or less,,,,No,N/A,N/A,https://www.ciodive.com/news/medical-company-coronavirus-ransomware/574653/,,resulted in data breach
536,3/14/2020,2020,,Jamaica Constabulary Force,Jamaica,,,,Financial Services,,,,,,,,,,,,http://www.jamaicaobserver.com/latestnews/Police_investigate_ransomware_attack_at_Jamaica_National,,
537,3/15/2020,2020,,Henning Harders (freight and logistics firm),Australia,,,,Transportation Systems,,Maze,S0449,,,,,,,,,https://www.csoonline.com/article/3533454/ransomware-strikes-aussie-freight-firm-henning-harders.html,,
538,3/16/2020,2020,,Mat-Su Surgical,AK,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/hackers-access-phi-during-mat-su-surgical-ransomware-attack,,
539,3/16/2020,2020,,Alleghany County Schools,NC,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.alleghany.k12.nc.us/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=29&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5089&PageID=1,,
540,3/18/2020,2020,,Woodlawn Dental Center,OH,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://healthitsecurity.com/news/hackers-access-phi-during-mat-su-surgical-ransomware-attack,,
541,3/19/2020,2020,,Moorestown Visiting Nurse Association,NJ,,,,Healthcare and Public Health,,ColdLock,,,,,,,,,,https://njbiz.com/moorestown-vna-hit-ransomware-attack/,,
542,3/20/2020,2020,,Finastra,UK (London),,,,Financial Services,,Ryuk,S0446,,,,,,No,N/A,N/A,https://www.crowdfundinsider.com/2020/03/159107-security-alert-uk-fintech-finastra-experiences-ransomware-attack-takes-some-servers-offline/; https://www.bloomberg.com/news/articles/2020-04-08/how-finastra-survived-a-ransomware-attack-without-paying-ransom,,
543,3/21/2020,2020,,Town of Jupiter,FL,Florida,Palm Beach County,"Palm Beach County, FL",Government Facilities,,Revil/sodinokibi,S0496,about 3 weeks,1 month or less,,,,No,N/A,N/A,"https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/sodinokibi-attacks-florida-towns-digital-services/, https://www.palmbeachpost.com/news/20200410/coronavirus-florida-jupiter-web-services-back-after-ransomware-attack",,
544,3/24/2020,2020,,"Daniel Bendetowicz, MD internal medicine provider (Fort Myers)",FL,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://healthitsecurity.com/news/ransomware-attack-on-magellan-health-results-in-data-exfiltration; https://drdanielbendetowicz.com/data-security-incident/,,
545,3/27/2020,2020,,SBTech (online sports betting websites),Global,,,,Commercial Facilities,,,,,,,,,,,,https://cointelegraph.com/news/online-fantasy-sports-company-recognizes-ransomware-attack-in-sec-filing,,
546,3/27/2020,2020,,Mitchell County Schools,NC,,,,Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.citizen-times.com/story/news/local/2020/08/28/ransomware-cyberattacks-nc-schools-rise-during-covid-19-pandemic/5644879002/,,
547,4/1/2020,2020,Apr-20,Chubb,NJ,,,,Financial Services,,Maze,S0449,,,,,,,,,https://www.teiss.co.uk/chubb-ransomware-attack/,,"Maze group claims to have encrypted the firm's systems, but the firm has no evidence their network has been affected"
548,4/1/2020,2020,,Berkine (Algerian Petroleum Joint Venture),Algeria,,,,Energy,,Maze,S0449,,,,,,,,,"https://www.itwire.com/security/algerian-petroleum-jv-hit-by-maze-ransomware,-data-posted-online.html",,
549,4/1/2020,2020,Apr-20,Energias de Portugal (EDP),Portugal,,,,Energy,,Ragnar Locker,S0481,,,1580 bitcoin,$10.9 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/ragnarlocker-ransomware-hits-edp-energy-giant-asks-for-10m/,,
550,4/1/2020,2020,Early april 2020,National Association of Eating Disorders,NY,,,,Healthcare and Public Health,,Revil/sodinokibi,S0496,,,,,,,,,https://threatpost.com/double-extortion-ransomware-attacks-spike/154818/,,
551,4/1/2020,2020,Apr-20,East Bay Biotech,CA,,,,Chemical,,,,,,,,,,,,https://www.bizjournals.com/sanfrancisco/news/2020/04/02/ransomware-hackers-10x-genomics-bio-rad.html,,
552,4/1/2020,2020,Apr-20,"Fort Collins-Loveland Water District and the South Fort Collins Sanitation District, Colorado",AL,,,,Critical Manufacturing,,,,,,,,,,,,https://www.ibtimes.sg/maze-ransomware-operators-create-havoc-by-leveraging-attack-two-us-based-enterprises-44729,,
553,4/1/2020,2020,Apr-20,Danish Agro,Denmark,,,,Food and Agriculture,,,,90% recovered as of july 1 2020,More than 1 month,,,,No,N/A,N/A,https://www.feednavigator.com/Article/2020/07/01/Danish-Agro-almost-back-to-normal-after-April-ransomware-attack,,a section of the group's IT environment was affected by the attack
554,4/1/2020,2020,Apr-20,SeaChange International (supplier of video delivery software),Global,,,,Communications,,Revil/sodinokibi,S0496,,,,,,,,,https://www.bleepingcomputer.com/news/security/leading-us-video-delivery-provider-confirms-ransomware-attack/,,"Maze group claims to have encrypted the firm's systems, but the firm has no evidence their network has been affected"
555,4/2/2020,2020,,Kent Commercial Services (News Site),England,,,,Communications,,,,,,"800,000 euros in bitcoin","about $875,000",$1000000 or less,No,N/A,N/A,https://www.thecanary.co/discovery/analysis-discovery/2020/06/02/criminal-organisation-carries-out-a-ransomware-attack-on-a-600m-company-owned-by-kent-county-council/,,data was leaked due to not paying the ransom
556,4/5/2020,2020,,Southeastern Wire (wire manufacturer),OK,,,,Critical Manufacturing,,Maze,S0449,,,,,,,,,https://cybleinc.com/2020/05/09/maze-ransomware-operators-targets-southwestern-wire-an-american-based-wire-manufacturing-enterprise/?__cf_chl_jschl_tk__=f57f010494338fc7bee2e6368b4156c84ab2dd9f-1589082851-0-AfrvsPDPi7l6GwrfHq-VVF3sjQpokr4XdP8uzY94awkbL07pUWVW0ykbJ8lCGDYuIVOWycNR9AgZtwHbu2qVHLwgEBHjeVkFj-bTPbAvOmGI7545Ps95vhML_jYNpkCJJeVZNvcXMbw6hVpzjYxfnrKiwlGDI5h5lpITCZMZhyl4NhP3szfNBHFJtV8E4RhLEmELfFOVfEqR860ziLP3lFNjmN9y9nX3Ozymzd9kEUDGPesIAlUJYXeEM79wGRb3QctwS3cAGDnyywZHVQqN3acWIZ8s3eYmKX-kzSK3w1JhUmHDSsmetgSi-QLbgeFa4h2BKiv70Ork0Rq3PTV8gp6XnN8Rnr_ghSy6LtetoICtXUlkGaqZjO-Xi_3Ef6PkqZLwls_zHb57-KSgWydH6FZRCKLpiAKOIKdpBUUiS4vJ,,
557,4/6/2020,2020,,Coffee County Jail,TN,Tennessee,Coffee County,"Coffee County, TN",Government Facilities,,,,Ongoing as of 7/8/2020,,,,,,,,https://www.newschannel5.com/news/coffee-co-jail-target-of-ransomware-attack[; https://www.tullahomanews.com/news/local/ransomware-attack-prompts-updated-jail-software/article_f5235b6a-c06f-11ea-ba1f-836f69430c23.html,,
558,4/9/2020,2020,,Rangely District Hospital (Rio Blanco County),CO,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.theheraldtimes.com/rdh-suffers-ransomware-attack/rangely/,,
559,4/9/2020,2020,,Florida Orthopaedic Institute,FL,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.floridaortho.com/florida-orthopaedic-institute-notifies-consumers-of-data-security-incident/; https://www.thecentersquare.com/florida/florida-lawsuit-offers-glimpse-into-estimated-1-4b-ransomware-toll-on-u-s-businesses/article_18904a64-c097-11ea-b307-c7486c456a7f.html,,
560,4/10/2020,2020,,"Borough of Duncannon (Perry County, PA)",PA,Pennsylvania,Perry County,"Perry County, PA",Government Facilities,,,,,,"$40,780 ","$40,780 ",$50000 or less,Yes,,"$43,000",https://www.fox43.com/article/news/crime/borough-of-duncannon-says-it-was-the-victim-of-ransomware-attack-last-month/521-6fe873fd-1e29-4e7c-b227-44a8bcad6609,,
561,4/11/2020,2020,,Magellan Health,AZ,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/ransomware-attack-on-magellan-health-results-in-data-exfiltration,,
562,4/12/2020,2020,,"Healthcare Fiscal Management, Inc. (St. Mary's Health Care Contractor)",NC,,,,Healthcare and Public Health,,,,restored data in same day,1 day or less,,,,No,N/A,N/A,https://www.onlineathens.com/news/20200710/patient-data-was-potentially-compromised-after-ransomware-attack-on-st-maryrsquos-health-care-contractor,,
563,4/13/2020,2020,,Orleans Parish Assessor's Office (New Orleans),LA,Louisiana,Orleans Parish,"Orleans Parish, LA",Government Facilities,,,,,,,,,,,,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/attacks-new-orleans-government-agency/,,
564,4/17/2020,2020,,Cognizant,NJ,,,,Information Technology,,Maze,S0449,May 7 report says attack has been contained so 20 days,More than 1 month,,,,No,N/A,N/A,https://news.cognizant.com/2020-04-18-cognizant-security-update; https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/cognizant-status-update/; https://www.crn.com/news/channel-programs/cognizant-says-maze-ransomware-attackers-hijacked-tax-id-social-security-passport-data; https://www.oodaloop.com/briefs/2020/06/18/it-giant-cognizant-confirms-data-breach-after-ransomware-attack/,,"Cognizant is saying the attack was from maze, but the ransomware operators are denying it. Total cost of the attack is $50-$70 million in lost revenue"
565,4/17/2020,2020,,2 hospitals in the Czech Republic,Czech Republic,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.reuters.com/article/us-czech-cyber-usa/u-s-says-concerned-by-threat-of-cyber-attack-against-czech-republic-healthcare-idUSKBN22000J,,
566,4/20/2020,2020,,Benefit Recovery Specialists Inc (BRSI),TX,,,,Financial Services,,Maze,S0449,,,,,,Yes,,,https://www.dallasnews.com/news/politics/2021/03/05/terminated-texas-medicaid-subcontractor-dumped-after-data-breach-in-ransomware-attack-from-russia/,,
567,4/21/2020,2020,,Parkview Medical Center (Pueblo County),CO,,,,Healthcare and Public Health,,,,,,,,,,,,https://cointelegraph.com/news/colorado-hospital-patient-information-system-hit-by-crypto-ransomware,,
568,4/24/2020,2020,,Illinois Valley Community College,IL,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.northernpublicradio.org/post/ransomware-attack-shuts-down-illinois-valley-community-college-servers,,
569,4/25/2020,2020,,"Tom Berkowitz Trucking Inc (whitinsville, MA)",MA,,,,Transportation Systems,,Maze,S0449,,,,,,,,,https://www.freightwaves.com/news/ransomware-attack-hits-massachusetts-trucking-company,,
570,4/25/2020,2020,,Diebold Nixdorf (ATM provider),OH,,,,Financial Services,,ProLock/PwndLocker,,,,,,,No,N/A,N/A,https://krebsonsecurity.com/2020/05/ransomware-hit-atm-giant-diebold-nixdorf/,,
571,4/25/2020,2020,,Lawrence County 911 center,TN,,,,Emergency Services,,,,,,,,,,,,https://www.wkrn.com/news/local-news/lawrence-county-911-center-attacked-by-ransomware/,,
572,4/26/2020,2020,,Dakota Carrier Network (DCN),ND,,,,Information Technology,,Maze,S0449,"""quickly""",1 day or less,,,,No,N/A,N/A,https://statescoop.com/north-dakota-government-fiber-provider-hit-maze-ransomware/; https://www.kfyrtv.com/content/news/DCN-hacked-by-national-ransomware-gang-customers-not-affected-570249721.html,,restored data from april 24 backup; hackers published stolen data
573,4/30/2020,2020,,Northwest Territories Power Corporation,Canada,,,,Energy,,NetWalker,S0457,6 weeks,More than 1 month,,,,,,,https://cabinradio.ca/36092/news/nwt-power-corporation-confirms-ransomware-attack/; https://cklbradio.com/2020/05/21/ntpc-website-still-down-after-ransomware-attack/; https://www.cbc.ca/news/canada/north/ntpc-website-restored-ransomware-1.5614495,,
574,5/1/2020,2020,May-20,Sparboe (egg producer),MN,,,,Food and Agriculture,,Maze,S0449,,,,,,,,,https://cointelegraph.com/news/egg-producers-data-poached-by-ransomware-will-they-shell-out-bitcoin,,
575,5/1/2020,2020,May-20,Banco BCR,Costa Rica,,,,Financial Services,,Maze,S0449,,,,,,No,N/A,N/A,https://cointelegraph.com/news/ransomware-hackers-threaten-to-release-credit-card-data-from-costa-rican-bank; https://www.bankinfosecurity.com/ransomware-gang-posting-financial-details-from-attack-a-14335,,hackers released payment card data
576,5/1/2020,2020,May-20,Network of Village of Weiz,Austria,,,,Government Facilities,,NetWalker,S0457,,,,,,,,,https://cointelegraph.com/news/ransomware-attack-kidnaps-austrian-city,,village Is located near production plants of big automaker and construction companies
577,5/1/2020,2020,May-20,BlueScope (Steelmaker- Port Kembla),Australia,,,,Critical Manufacturing,,,,,,,,,,,,https://www.afr.com/technology/port-kembla-steelworks-hit-as-bluescope-cyber-attack-bites-20200515-p54tb9,,
578,5/1/2020,2020,May-20,Fincantieri Vard Group AS (Shipbuilding Company),Norway,,,,Critical Manufacturing,,,,,,,,,,,,https://www.insurancejournal.com/news/international/2020/06/09/571495.htm,,
579,5/1/2020,2020,May-20,BlackBaud (Cloud provider),USA,,,,Information Technology,,,,,,,,,Yes,,,https://www.zdnet.com/article/cloud-provider-stopped-ransomware-attack-but-had-to-pay-ransom-demand-anyway/,,"Very big provider with a lot of customers whose data was breached, mainly schools and non-profit organizations"
580,5/1/2020,2020,May-20,University of York,United Kingdom,,,,Education Facilities Subsector,,,,,,,,,Yes,,,https://cointelegraph.com/news/university-of-york-confirms-recent-data-breach-was-caused-by-ransomware,Blackbaud,
581,5/1/2020,2020,May 2020,Spectra Logic,CO,,,,Information Technology,,NetWalker,S0457,5 days,1 week or less,$3.6 million in bitcoin,$3.6 million,$5000000 or less,No,N/A,N/A,https://www.zdnet.com/article/this-company-was-hit-with-ransomware-heres-what-they-did-next-and-why-they-didnt-pay-up/,,
582,5/3/2020,2020,,Harvest Food Distributors (San Diego),CA,,,,Food and Agriculture,,Revil/sodinokibi,S0496,,,$7.5 million in cryptocurrency,$7.5 million,More than $5000000,,,,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/revil-hits-food-distributors/,related to sherwood (583): 7.5 mil ransom total,
583,5/3/2020,2020,,Sherwood Food Distributors (Detroit),MI,,,,Food and Agriculture,,Revil/sodinokibi,S0496,,,$7.5 million in cryptocurrency,$7.5 million,More than $5000000,,,,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/revil-hits-food-distributors/,related to harvest (582): 7.5 mil ransom total,
584,5/4/2020,2020,,Fresenius SE & Co.,Germany,,,,Healthcare and Public Health,Chemical,Snake,,,,,,,,,,https://krebsonsecurity.com/2020/05/europes-largest-private-hospital-operator-fresenius-hit-by-ransomware/,,"anonymous insider source reported fresnius has previously paid a $1.5 million ransom, but the current attack is much greater"
585,5/4/2020,2020,,Powertech Technology Inc.,Taiwan,,,,Information Technology,,,,same day,1 day or less,,,,No,N/A,N/A,https://focustaiwan.tw/sci-tech/202005050025,,
586,5/5/2020,2020,,CPC Corp. (Tawain's state-owned energy company),Taiwan,,,,Energy,,ColdLock,,same day,1 day or less,,,,,,,https://www.cyberscoop.com/cpc-corp-ransomware-attack-taiwan-trend-micro/; https://focustaiwan.tw/sci-tech/202005050025,,
587,5/5/2020,2020,,Formosa Petrochemica,Taiwan,,,,Energy,,ColdLock,,same day,1 day or less,,,,,,,https://focustaiwan.tw/sci-tech/202005050025,,
588,5/5/2020,2020,,Ashville Plastic Surgery Institute,NC,,,,Healthcare and Public Health,,Maze,S0449,,,,,,,,,https://cointelegraph.com/news/maze-ransomware-group-hacks-two-plastic-surgeons; https://www.beckershospitalreview.com/cybersecurity/ransomware-attackers-hit-2-providers-post-patient-information-and-photos-online-5-details.html,,Leaked patient info
589,5/5/2020,2020,,"Plastic Surgeon Kristin Tarbet (Bellevue, Wash)",WA,,,,Healthcare and Public Health,,Maze,S0449,,,,,,,,,https://cointelegraph.com/news/maze-ransomware-group-hacks-two-plastic-surgeons; https://www.beckershospitalreview.com/cybersecurity/ransomware-attackers-hit-2-providers-post-patient-information-and-photos-online-5-details.html,,Leaked highly sensitive patient info including SSNs
590,5/5/2020,2020,,Toll Group,Australia,,,,Transportation Systems,,Nefilim,,expecting lost corporate data to be published- online. functions taking more than 4 weeks to recover,More than 1 month,,,,No,N/A,N/A,https://www.zdnet.com/article/transport-logistics-firm-toll-group-hit-by-ransomware-for-the-second-time-in-three-months/; https://www.itnews.com.au/news/toll-group-may-have-lost-over-200gb-of-data-in-ransomware-attack-548362; https://ia.acs.org.au/article/2020/toll-group-staff-data-exposed.html,,lost over 200gb of data; attackers publishing data
591,5/7/2020,2020,,Unnamed health care company,WA,,,,Healthcare and Public Health,,Mamba,,,,,,,,,,https://statescoop.com/ransomware-unemployment-fraud-washington-linked-health-care/,,Used to exploit the washington state unemployment system
592,5/7/2020,2020,,HLB (Belgian accounting firm),Belgium,,,,Financial Services,,Maze,S0449,,,,,,,,,https://www.itwire.com/security/sydney-strata-management-firm-strata-plus-hit-by-maze-ransomware.html; https://itwire.com/security/huge-belgian-accounting-firm-hlb-hit-by-maze-ransomware.html; https://www.itwire.com/security/huge-belgian-accounting-firm-hlb-hit-by-maze-ransomware.html,,
593,5/7/2020,2020,,Stadler (Rail vehicle manufacturer),Switzerland,,,,Transportation Systems,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/rail-vehicle-manufacturer-stadler-hit-by-cyberattack-blackmailed/,,
594,5/8/2020,2020,,Texas Supreme Court Website,TX,Texas,,", TX",Government Facilities,,,,2 months,More than 1 month,,,,No,N/A,N/A,https://www.law.com/texaslawyer/2020/05/11/ransomware-hack-disables-texas-supreme-courts-website/?slreturn=20200501144944; https://www.law.com/texaslawyer/2020/07/10/texas-appellate-courts-almost-back-online-after-ransomware-attack/?slreturn=20200823160031,,
595,5/8/2020,2020,,Nipissing First Nation (NFN) Administration,Canada,,,,Government Facilities,,,,,,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/ransomware-locks-down-the-nipissing-first-nation/,,
596,5/9/2020,2020,,Pitney Bowes,CT,,,,Information Technology,Transportation Systems,Maze,S0449,,,,,,,,,https://www.itwire.com/security/global-tech-firm-pitney-bowes-hit-by-maze-ransomware.; https://www.zdnet.com/article/package-delivery-giant-pitney-bowes-confirms-second-ransomware-attack-in-7-months/,,
597,5/11/2020,2020,,Bernards Township,NJ,New Jersey,Somerset County,"Somerset County, NJ",Government Facilities,,,,2 weeks,1 month or less,,,,,,,https://www.tapinto.net/towns/basking-ridge/sections/business-and-finance/articles/probe-continues-into-ransomware-attack-on-township-system-network-on-around-the-clock-basis; https://www.newjerseyhills.com/bernardsville_news/news/ransomware-attack-draws-questions-in-bernards-township/article_97310b6c-07b3-56e3-acf4-360d0baabbe5.html,,
598,5/14/2020,2020,,Texas Department of Transportation,TX,,,,Transportation Systems,,RansomEXX/defray,,,,,,,,,,https://www.fox7austin.com/news/txdot-reports-ransomware-attack-on-agency-network; https://www.scmagazine.com/home/security-news/ransomware/netwalker-ransomware-group-claims-attack-on-fort-worth-transportation-agency/,,
599,5/14/2020,2020,,Elexon,United Kingdom,,,,Energy,,Revil/sodinokibi,S0496,,,,,,No,N/A,N/A,https://www.current-news.co.uk/news/elexon-files-posted-online-following-mays-ransomware-attack,,
600,5/15/2020,2020,,Assured Imaging,AZ,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/assured-imaging-ransomware-causes-data-theft-affecting-245k-patients,,Also resulted in data theft
601,5/16/2020,2020,,Insport (sports store),Australia,,,,Commercial Facilities,,Revil/sodinokibi,S0496,5,1 week or less,,,,No,N/A,N/A,https://www.itwire.com/security/sydney-sports-store-instore-hit-by-windows-revil-ransomware.html; https://www.itnews.com.au/news/retailer-in-sports-head-office-hit-by-ransomware-548509,,
602,5/17/2020,2020,,M.J. Brunner (msp),PA,,,,Information Technology,,,,,,,,,,,,https://www.itpro.co.uk/security/ransomware/356329/xerox-becomes-latest-maze-ransomware-victim; https://www.bankinfosecurity.com/sei-investments-vendor-hit-by-ransomware-data-leaked-a-14722,,
603,5/19/2020,2020,,Assured Imaging,AZ,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/assured-imaging-ransomware-causes-data-theft-affecting-245k-patients,,
604,5/23/2020,2020,,Sri Lanka Telecom,Sri Lanka,,,,Communications,,Revil/sodinokibi,S0496,,,,,,,,,https://economynext.com/sri-lanka-telecom-says-dealing-with-revil-hack-customer-data-safe-70322/; https://srilankamirror.com/biz/18287-slt-comes-under-cyber-attack,,
605,5/24/2020,2020,,Max Linear (radio- frequency chip maker),CA,,,,Communications,,Maze,S0449,,,,,,No,N/A,N/A,https://www.itpro.com/security/ransomware/356186/maxlinear-targeted-by-maze-ransomware-attack; https://www.bleepingcomputer.com/news/security/chipmaker-maxlinear-reports-data-breach-after-maze-ransomware-attack/; https://securityboulevard.com/2020/06/maxlinear-discloses-maze-ransomware-attack-that-compromised-employee-data/,,"initial break took place around april 15, attack was discovered may 24."
606,5/24/2020,2020,,Northwest Atlantic Fisheries Organization,Canada,,,,Food and Agriculture,,,,,,,,,,,,https://www.seafoodsource.com/news/business-finance/northwest-atlantic-fisheries-organization-hit-by-ransomware-attack,,
